session,method,gender,emotion,n_annotators,agreement,path,audio_path,utterance_id,oracle_transcript
4,impro,M,fru,3,2,Session4/sentences/wav/Ses04M_impro02/Ses04M_impro02_F002.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro02/Ses04M_impro02_F002.wav,Ses04M_impro02_F002,You're just going to pick up and leave me and our baby and miss a year of our lives?
2,script,F,hap,3,2,Session2/sentences/wav/Ses02F_script02_1/Ses02F_script02_1_M035.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_1/Ses02F_script02_1_M035.wav,Ses02F_script02_1_M035,There is that--no that's just seaweed isn't it?
4,impro,M,neu,3,2,Session4/sentences/wav/Ses04M_impro08/Ses04M_impro08_F030.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro08/Ses04M_impro08_F030.wav,Ses04M_impro08_F030,You too.
3,script,F,fru,3,2,Session3/sentences/wav/Ses03F_script01_1/Ses03F_script01_1_F023.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session3/sentences/wav/Ses03F_script01_1/Ses03F_script01_1_F023.wav,Ses03F_script01_1_F023,"Well, you better make sure your father's not- No- I'm just saying."
4,impro,M,neu,3,2,Session4/sentences/wav/Ses04M_impro07/Ses04M_impro07_M025.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro07/Ses04M_impro07_M025.wav,Ses04M_impro07_M025,"Ouch.  That's, um -- oh, wow."
3,impro,M,fru,4,4,Session3/sentences/wav/Ses03M_impro01/Ses03M_impro01_F012.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro01/Ses03M_impro01_F012.wav,Ses03M_impro01_F012,"You will get your license, sir, you have to go fill out-- --another copy...excuse me?"
2,script,M,ang,3,3,Session2/sentences/wav/Ses02M_script01_1/Ses02M_script01_1_M025.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session2/sentences/wav/Ses02M_script01_1/Ses02M_script01_1_M025.wav,Ses02M_script01_1_M025,To hell with that.
3,script,F,hap,3,2,Session3/sentences/wav/Ses03F_script01_3/Ses03F_script01_3_F018.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session3/sentences/wav/Ses03F_script01_3/Ses03F_script01_3_F018.wav,Ses03F_script01_3_F018,Every day since.
4,script,F,neu,3,2,Session4/sentences/wav/Ses04F_script03_1/Ses04F_script03_1_M030.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script03_1/Ses04F_script03_1_M030.wav,Ses04F_script03_1_M030,How long did that row last?
4,script,M,ang,3,3,Session4/sentences/wav/Ses04M_script03_2/Ses04M_script03_2_M031.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session4/sentences/wav/Ses04M_script03_2/Ses04M_script03_2_M031.wav,Ses04M_script03_2_M031,They snap.
1,impro,M,ang,4,2,Session1/sentences/wav/Ses01M_impro05/Ses01M_impro05_M020.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_impro05/Ses01M_impro05_M020.wav,Ses01M_impro05_M020,Probably people that work for your company huh?
2,impro,F,fru,3,2,Session2/sentences/wav/Ses02F_impro02/Ses02F_impro02_M001.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session2/sentences/wav/Ses02F_impro02/Ses02F_impro02_M001.wav,Ses02F_impro02_M001,What--what're we gonna do here?  I can't--I can't do this by myself.  I--
4,impro,F,hap,3,2,Session4/sentences/wav/Ses04F_impro07/Ses04F_impro07_F012.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session4/sentences/wav/Ses04F_impro07/Ses04F_impro07_F012.wav,Ses04F_impro07_F012,And a taser.  Excellent.  Just make sure it's a big knife.
3,impro,M,sad,4,4,Session3/sentences/wav/Ses03M_impro06/Ses03M_impro06_M000.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro06/Ses03M_impro06_M000.wav,Ses03M_impro06_M000,I ah--
3,impro,M,fru,4,3,Session3/sentences/wav/Ses03M_impro08b/Ses03M_impro08b_F007.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro08b/Ses03M_impro08b_F007.wav,Ses03M_impro08b_F007,Okay?  And it [GARBAGE]. My business is failing because my phone isn't working and I don't have a land line and I really can't handle this right now.
2,script,F,sad,3,2,Session2/sentences/wav/Ses02F_script01_3/Ses02F_script01_3_F020.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script01_3/Ses02F_script01_3_F020.wav,Ses02F_script01_3_F020,"Then, what's wrong?  I mean, even in your letters there was some--something ashamed."
4,impro,M,fru,3,2,Session4/sentences/wav/Ses04M_impro02/Ses04M_impro02_F011.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session4/sentences/wav/Ses04M_impro02/Ses04M_impro02_F011.wav,Ses04M_impro02_F011,"And what happens if, at the end of that year, they ask you to stay longer?  Are you just going to agree?  Are you just going to absentmindedly brainwashedly do whatever it is they tell you to do?"
3,script,F,sad,3,2,Session3/sentences/wav/Ses03F_script01_3/Ses03F_script01_3_F008.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session3/sentences/wav/Ses03F_script01_3/Ses03F_script01_3_F008.wav,Ses03F_script01_3_F008,"Well, you've been embarrassed ever since I came."
2,script,F,fru,3,2,Session2/sentences/wav/Ses02F_script01_1/Ses02F_script01_1_M012.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script01_1/Ses02F_script01_1_M012.wav,Ses02F_script01_1_M012,We've got to say it to him.
1,script,M,ang,3,2,Session1/sentences/wav/Ses01M_script03_2/Ses01M_script03_2_F015.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script03_2/Ses01M_script03_2_F015.wav,Ses01M_script03_2_F015,"Don't be stupid, what?"
3,script,M,hap,3,3,Session3/sentences/wav/Ses03M_script02_1/Ses03M_script02_1_M041.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session3/sentences/wav/Ses03M_script02_1/Ses03M_script02_1_M041.wav,Ses03M_script02_1_M041,"Oh, I'm giving myself goose bumps.  Look, all my hairs are standing up."
4,impro,F,neu,3,2,Session4/sentences/wav/Ses04F_impro08/Ses04F_impro08_F004.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session4/sentences/wav/Ses04F_impro08/Ses04F_impro08_F004.wav,Ses04F_impro08_F004,"Sir, can- can you tell me which branch you went to.  We can start there."
4,impro,F,hap,3,3,Session4/sentences/wav/Ses04F_impro06/Ses04F_impro06_F009.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session4/sentences/wav/Ses04F_impro06/Ses04F_impro06_F009.wav,Ses04F_impro06_F009,And to drink in his honor. [LAUGHTER]
2,impro,F,fru,3,3,Session2/sentences/wav/Ses02F_impro01/Ses02F_impro01_M008.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session2/sentences/wav/Ses02F_impro01/Ses02F_impro01_M008.wav,Ses02F_impro01_M008,"Alright, I don't know what to tell you right."
3,impro,M,neu,4,3,Session3/sentences/wav/Ses03M_impro04/Ses03M_impro04_F004.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro04/Ses03M_impro04_F004.wav,Ses03M_impro04_F004,"Well, okay. Well that's--"
2,script,M,hap,3,3,Session2/sentences/wav/Ses02M_script02_1/Ses02M_script02_1_M028.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session2/sentences/wav/Ses02M_script02_1/Ses02M_script02_1_M028.wav,Ses02M_script02_1_M028,"Okay. But it's fish that do something none of the other fish do. Like the swallows returning to Capistrano, or the Lemmings throwing themselves off the cliffs"
2,script,M,neu,3,2,Session2/sentences/wav/Ses02M_script02_1/Ses02M_script02_1_F006.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session2/sentences/wav/Ses02M_script02_1/Ses02M_script02_1_F006.wav,Ses02M_script02_1_F006,I'm cold.
4,impro,F,sad,3,2,Session4/sentences/wav/Ses04F_impro06/Ses04F_impro06_M002.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session4/sentences/wav/Ses04F_impro06/Ses04F_impro06_M002.wav,Ses04F_impro06_M002,Mmhmm. Yeah.  Yeah.  I mean it's- it's hard.  It's hard.
4,impro,F,fru,3,2,Session4/sentences/wav/Ses04F_impro02/Ses04F_impro02_M017.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session4/sentences/wav/Ses04F_impro02/Ses04F_impro02_M017.wav,Ses04F_impro02_M017,Look I'm just telling you that you don't have to go.
2,script,F,sad,3,3,Session2/sentences/wav/Ses02F_script01_3/Ses02F_script01_3_M020.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script01_3/Ses02F_script01_3_M020.wav,Ses02F_script01_3_M020,No.  Nothing like that.
3,impro,M,sad,4,3,Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_M024.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro02/Ses03M_impro02_M024.wav,Ses03M_impro02_M024,Honey after a year I can be back.
4,script,F,ang,3,3,Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_F037.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session4/sentences/wav/Ses04F_script01_1/Ses04F_script01_1_F037.wav,Ses04F_script01_1_F037,Must you be inspired?
2,impro,F,neu,3,3,Session2/sentences/wav/Ses02F_impro06/Ses02F_impro06_M009.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session2/sentences/wav/Ses02F_impro06/Ses02F_impro06_M009.wav,Ses02F_impro06_M009,"Well, that's that's good, you know.  At least, I don't know.  I mean it's- it's better to go- to goout that way than..."
3,script,M,fru,3,2,Session3/sentences/wav/Ses03M_script02_1/Ses03M_script02_1_F019.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session3/sentences/wav/Ses03M_script02_1/Ses03M_script02_1_F019.wav,Ses03M_script02_1_F019,You didn't see them the first time either.
2,script,F,fru,3,2,Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F027.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script02_2/Ses02F_script02_2_F027.wav,Ses02F_script02_2_F027,No.
1,impro,M,sad,4,3,Session1/sentences/wav/Ses01M_impro02/Ses01M_impro02_M001.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_impro02/Ses01M_impro02_M001.wav,Ses01M_impro02_M001,I have to go back.
2,impro,M,neu,3,2,Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_M003.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_M003.wav,Ses02M_impro01_M003,"Um, no, I got my driver's license though."
3,impro,M,fru,4,2,Session3/sentences/wav/Ses03M_impro01/Ses03M_impro01_F017.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session3/sentences/wav/Ses03M_impro01/Ses03M_impro01_F017.wav,Ses03M_impro01_F017,Sir-
1,impro,F,neu,4,2,Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M007.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M007.wav,Ses01F_impro04_M007,You did?
4,script,M,hap,3,2,Session4/sentences/wav/Ses04M_script03_1/Ses04M_script03_1_F028.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session4/sentences/wav/Ses04M_script03_1/Ses04M_script03_1_F028.wav,Ses04M_script03_1_F028,"The manager came in and found is rolling about on the floor, biting and scratching like panthers.  Oh, dear."
1,impro,F,neu,4,4,Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M011.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro05/Ses01F_impro05_M011.wav,Ses01F_impro05_M011,"we've mistakenly lost your baggage.  We're very sorry.  On behalf of Jet Blue I would like to apologize for any inconvenience.  I am allowed to issue you a fifty dollar gift card which you can use any future flights you want to take with us.  I'm very sorry, once again..."
1,impro,M,neu,4,4,Session1/sentences/wav/Ses01M_impro06/Ses01M_impro06_F000.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_impro06/Ses01M_impro06_F000.wav,Ses01M_impro06_F000,You okay?
1,script,M,fru,3,3,Session1/sentences/wav/Ses01M_script01_1/Ses01M_script01_1_M027.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script01_1/Ses01M_script01_1_M027.wav,Ses01M_script01_1_M027,Because it is.
1,impro,F,fru,4,2,Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M034.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session1/sentences/wav/Ses01F_impro04/Ses01F_impro04_M034.wav,Ses01F_impro04_M034,What? Oh.  So now you're...
2,script,F,fru,3,2,Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_M022.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session2/sentences/wav/Ses02F_script03_2/Ses02F_script03_2_M022.wav,Ses02F_script03_2_M022,Nonsense.  They have a little bag of venom behind their fangs and they snap.
2,impro,F,neu,3,3,Session2/sentences/wav/Ses02F_impro06/Ses02F_impro06_M019.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session2/sentences/wav/Ses02F_impro06/Ses02F_impro06_M019.wav,Ses02F_impro06_M019,"It's hard to lose someone that way, but he's he's better--he's better off now."
3,script,F,fru,3,2,Session3/sentences/wav/Ses03F_script01_1/Ses03F_script01_1_F040.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session3/sentences/wav/Ses03F_script01_1/Ses03F_script01_1_F040.wav,Ses03F_script01_1_F040,"Just, listen. Give it more thought, is all."
2,impro,M,fru,4,3,Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_F019.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session2/sentences/wav/Ses02M_impro01/Ses02M_impro01_F019.wav,Ses02M_impro01_F019,"Well, if you had checked the web site it would have said."
1,script,M,ang,3,2,Session1/sentences/wav/Ses01M_script02_2/Ses01M_script02_2_M035.wav,/Users/vanilla/Documents/courses/AI7102/project/AI7102-Project-1/IEMOCAP_full_release/Session1/sentences/wav/Ses01M_script02_2/Ses01M_script02_2_M035.wav,Ses01M_script02_2_M035,You think nothing turns out how it's supposed to.  You think I had some grand idea going that four years down the line.  We would come to this beach and argue over fish?  No.
